Appl No,Product,Party,Prod No,Patent No,Patent Expiration,Drug Substance Claim,Drug Product Claim,Patent Use Code,Patent Use Description,Delist Requested
20723,IMIQUIMOD,MEDICIS,1,7696159,2024-04-01,Y,"",U-1048,WORKS THROUGH THE INDUCTION OF INTERFERON AND OTHER CYTOKINES,""
20723,IMIQUIMOD,MEDICIS,1,7696159,2024-04-01,Y,"",U-1047,"TREATMENT OF BIOPSY-CONFIRMED, PRIMARY SUPERFICIAL BASAL CELL CARCINOMA (SBCC)",""
20727,HYDRALAZINE HYDROCHLORIDE; ISOSORBIDE DINITRATE,ARBOR PHARMS LLC,1,6465463,2020-09-08,"","",U-71,METHOD OF TREATMENT OF HEART FAILURE,""
20727,HYDRALAZINE HYDROCHLORIDE; ISOSORBIDE DINITRATE,ARBOR PHARMS LLC,1,6784177,2020-09-08,"","",U-71,METHOD OF TREATMENT OF HEART FAILURE,""
20746,BUDESONIDE,ASTRAZENECA PHARMS,1,6686346,2017-04-29,"",Y,U-557,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,Y
20746,BUDESONIDE,ASTRAZENECA PHARMS,1,6986904,2017-04-29,"",Y,U-699,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,Y
20746,BUDESONIDE,ASTRAZENECA PHARMS,2,6686346,2017-04-29,"",Y,U-557,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,""
20746,BUDESONIDE,ASTRAZENECA PHARMS,2,6986904,2017-04-29,"",Y,U-699,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,""
20785,THALIDOMIDE,CELGENE,1,6045501,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6045501,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6315720,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6315720,2020-10-23,"","",U-442,"METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUS",""
20785,THALIDOMIDE,CELGENE,1,6561976,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6561976,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6561977,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6561977,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6755784,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6755784,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6869399,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,6869399,2020-10-23,"","",U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE,""
20785,THALIDOMIDE,CELGENE,1,6869399,2020-10-23,"","",U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL),""
20785,THALIDOMIDE,CELGENE,1,6869399,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6908432,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,6908432,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,7141018,2020-10-23,"","",U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE,""
20785,THALIDOMIDE,CELGENE,1,7141018,2020-10-23,"","",U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL),""
20785,THALIDOMIDE,CELGENE,1,7141018,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,7141018,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,7435745,2017-11-03,"","",U-899,USE OF THALIDOMIDE IN COMBINATION WITH DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-1109,TREATMENT OF CUTANEOUS MANIFESTATIONS OF ERYTHEMA NODOSUM LEPROSUM (ENL) IN CONNECTION WITH A SPECIAL PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALI,""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE,""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL),""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-442,"METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUS",""
20785,THALIDOMIDE,CELGENE,1,7874984,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,1,7959566,2020-10-23,"","",U-1155,USE OF THALIDOMIDE IN TREATMENT OF CUTANEOUS MANIFESTATIONS OF ERYTHEMA NODOSUM LEPROSUM (ENL),""
20785,THALIDOMIDE,CELGENE,1,8204763,2018-08-28,"","",U-1249,TREATMENT OF MALE PATIENT HAVING A DISEASE OR CONDITION RESPONSIVE TO A TERATOGENIC DRUG,""
20785,THALIDOMIDE,CELGENE,1,8315886,2020-10-23,"","",U-1249,TREATMENT OF MALE PATIENT HAVING A DISEASE OR CONDITION RESPONSIVE TO A TERATOGENIC DRUG,""
20785,THALIDOMIDE,CELGENE,2,6045501,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6045501,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6315720,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6315720,2020-10-23,"","",U-442,"METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUS",""
20785,THALIDOMIDE,CELGENE,2,6561976,2018-08-28,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6561976,2018-08-28,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6561977,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6561977,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6755784,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6755784,2020-10-23,"","",U-731,USE IN COMBINATION WITH DEXAMETHASONE IS INDICATED FOR THE TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED MULTIPLE MYELOMA,""
20785,THALIDOMIDE,CELGENE,2,6869399,2020-10-23,"","",U-371,APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.,""
20785,THALIDOMIDE,CELGENE,2,6869399,2020-10-23,"","",U-733,MAINTENANCE THERAPY FOR PREVENTION AND SUPRESSION OF THE CUTANEOUS MANIFESTATIONS OF ENL RECURRENCE,""
20785,THALIDOMIDE,CELGENE,2,6869399,2020-10-23,"","",U-732,ACUTE TREATMENT OF THE CUTANEOUS MANIFESTATIONS OF MODERATE TO SEVERE ERYTHEMA NODOSUM LEPROSUM (ENL),""
13217,METAXALONE,KING PHARMS,3,7122566,2026-02-06,"","",U-915,TREATMENT OF MUSCULOSKELETAL CONDITIONS,""
13217,METAXALONE,KING PHARMS,3,7714006,2021-12-03,"","",U-1050,USE OF METAXALONE FOR TREATMENT OF MUSCULSKELETAL CONDITIONS,""
13718,OXANDROLONE,GEMINI LABS LLC,1,5872147,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,1,6090799,2017-07-18,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,1,6576659,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,1,6828313,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,2,5872147,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,2,6090799,2017-07-18,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,2,6576659,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
13718,OXANDROLONE,GEMINI LABS LLC,2,6828313,2017-12-05,"","",U-585,TO PROMOTE WEIGHT GAIN AFTER WEIGHT LOSS IN CERTAIN TYPES OF PATIENTS,""
18613,MALATHION,TARO PHARMS NORTH,1,7560445,2027-02-01,Y,Y,U-986,TREATMENT OF PATIENTS INFECTED WITH PEDICULUS HUMANUS CAPITIS (HEAD LICE AND THEIR OVA) OF THE SCALP HAIR,""
18705,NITROGLYCERIN,POHL BOSKAMP,2,7872049,2028-03-14,"",Y,U-39,ANGINA PECTORIS,""
18708,QUAZEPAM,CUTIS HEALTH LLC,1,7608616,2028-06-03,"","",U-1012,METHOD FOR TREATING INSOMNIA WHILE REDUCING THE RISK OF AN ADVERSE DRUG INTERACTION,""
18708,QUAZEPAM,CUTIS HEALTH LLC,3,7608616,2028-06-03,"","",U-1012,METHOD FOR TREATING INSOMNIA WHILE REDUCING THE RISK OF AN ADVERSE DRUG INTERACTION,""
